Preço,Cidade,Bairro,Endereço,Numero,Dorms,Banheiros,Area,Vagas,Titulo
R$ 390.000      Preço abaixo do mercado,Caraguatatuba,Massaguaçu,Rua Rio Paraná,600,2   Quartos,2   Banheiros,88   m²,2   Vagas,"Casa com 2 Quartos à Venda, 88m²"
A partir de     R$ 440.000,Caraguatatuba,Praia Das Palmeiras,Rua Botucatu,53,1-3   Quartos,2   Banheiros,69-138   m²,1-2   Vagas,Vila Nomar Residence
R$ 288.770         Condomínio:   R$ 1,Caraguatatuba,Balneário dos Golfinhos,Avenida Emílio Manzano Lhorente,100,2   Quartos,2   Banheiros,55   m²,2   Vagas,"Casa com 2 Quartos à Venda, 55m²"
R$ 390.000,Caraguatatuba,Loteamento Recreio Juqueriquere,Rua Oito,18,3   Quartos,2   Banheiros,80   m²,2   Vagas,"Casa com 3 Quartos à Venda, 80m²"
R$ 498.900         Condomínio:   R$ 400,Caraguatatuba,Jardim Porto Novo,Praça Engenheiro Marino Parolari,100,2   Quartos,2   Banheiros,61   m²,1   Vaga,"Apartamento com 2 Quartos à Venda, 61m²"
R$ 508.060         Condomínio:   R$ 400,Caraguatatuba,Jardim Porto Novo,Praça Engenheiro Marino Parolari,100,2   Quartos,2   Banheiros,62   m²,1   Vaga,"Apartamento com 2 Quartos à Venda, 62m²"
R$ 349.000,Caraguatatuba,Morro Do Algodao,7ª Travessa da São Judas Tadeu,18,3   Quartos,2   Banheiros,80   m²,2   Vagas,"Casa com 3 Quartos à Venda, 80m²"
R$ 350.000,Caraguatatuba,Balneario Recanto do Sol,Rua Andradina Garcia dos Reis,498,2   Quartos,1   Banheiro,69   m²,1   Vaga,"Casa com 2 Quartos à Venda, 69m²"
R$ 500.000      Preço abaixo do mercado,Caraguatatuba,Balneario Recanto do Sol,Avenida Alice Arouca,123,3   Quartos,3   Banheiros,162   m²,4   Vagas,"Casa com 3 Quartos à Venda, 162m²"
R$ 350.000         Condomínio:   R$ 200,Caraguatatuba,Martin de Sá,Rua Luiz Lyria Martinez,800,2   Quartos,1   Banheiro,50   m²,2   Vagas,"Casa com 2 Quartos à Venda, 50m²"
R$ 240.000         Condomínio:   R$ 120,Caraguatatuba,Jardim Das Gaivotas,Avenida Cardeal,1400,1   Quarto,1   Banheiro,47   m²,1   Vaga,"Apartamento com  Quarto à Venda, 47m²"
R$ 260.000,Caraguatatuba,Balneário dos Golfinhos,N/I,N/I,2   Quartos,2   Banheiros,10   m²,1   Vaga,"Casa com 2 Quartos à Venda, 10m²"
R$ 479.470         Condomínio:   R$ 420,Caraguatatuba,Martim de Sa,Rua Bartolomeu Bueno da Silva,100,2   Quartos,3   Banheiros,100   m²,2   Vagas,"Casa de condomínio com 2 Quartos à Venda, 100m²"
R$ 344.620         Condomínio:   R$ 1,Caraguatatuba,Balneário dos Golfinhos,Alameda das Sépias,100,2   Quartos,2   Banheiros,64   m²,2   Vagas,"Casa com 2 Quartos à Venda, 64m²"
R$ 584.000         Condomínio:   R$ 200,Caraguatatuba,Jardim Mariella,Rua Judith Guagliano Navarro,234,2   Quartos,3   Banheiros,148   m²,2   Vagas,"Casa de condomínio com 2 Quartos à Venda, 148m²"
R$ 340.000,Caraguatatuba,Travessão,Rua Habacuque,N/I,2   Quartos,2   Banheiros,70   m²,3   Vagas,"Casa com 2 Quartos à Venda, 70m²"
R$ 399.000,Caraguatatuba,Pontal de Santa Marina,Rua Sady Gomes de Almeida,N/I,2   Quartos,2   Banheiros,74   m²,1   Vaga,"Casa com 2 Quartos à Venda, 74m²"
R$ 600.000,Caraguatatuba,Praia Das Palmeiras,Avenida Geraldo Nogueira da Silva,500,2   Quartos,2   Banheiros,95   m²,2   Vagas,"Casa com 2 Quartos à Venda, 95m²"
R$ 480.000         Condomínio:   R$ 576,Caraguatatuba,Sumaré,Avenida Arthur Costa Filho,1957,2   Quartos,2   Banheiros,80   m²,1   Vaga,"Apartamento com 2 Quartos à Venda, 80m²"
R$ 379.480         Condomínio:   R$ 297,Caraguatatuba,Martim de Sa,Avenida Fioravante Paschoalim,100,2   Quartos,3   Banheiros,81   m²,1   Vaga,"Casa de condomínio com 2 Quartos à Venda, 81m²"
R$ 529.380         Condomínio:   R$ 250,Caraguatatuba,Pontal de Santa Marina,Rua do Contorno,100,2   Quartos,3   Banheiros,110   m²,2   Vagas,"Casa de condomínio com 2 Quartos à Venda, 110m²"
R$ 399.000,Caraguatatuba,Pontal de Santa Marina,Rua Sady Gomes de Almeida,N/I,2   Quartos,3   Banheiros,74   m²,1   Vaga,"Casa com 2 Quartos à Venda, 74m²"
R$ 300.000      Preço abaixo do mercado,Caraguatatuba,Balneário dos Golfinhos,Alameda Alfredo Carlos Rokita,2000,2   Quartos,2   Banheiros,80   m²,1   Vaga,"Casa com 2 Quartos à Venda, 80m²"
R$ 390.000,Caraguatatuba,Estancia Balnearia Hawai,Rua Kunio Nishi,19,2   Quartos,3   Banheiros,75   m²,1   Vaga,"Casa com 2 Quartos à Venda, 75m²"
R$ 529.260         Condomínio:   R$ 1,Caraguatatuba,Prainha,Rua Adaly Coelho Passos,100,2   Quartos,3   Banheiros,120   m²,2   Vagas,"Casa de condomínio com 2 Quartos à Venda, 120m²"
R$ 349.900         Condomínio:   R$ 1,Caraguatatuba,Massaguaçu,Rua S,100,2   Quartos,3   Banheiros,80   m²,1   Vaga,"Casa de condomínio com 2 Quartos à Venda, 80m²"
R$ 480.000         Condomínio:   R$ 650,Caraguatatuba,Balneario Gardem Mar,Rua N,458,2   Quartos,1   Banheiro,71   m²,2   Vagas,"Apartamento com 2 Quartos à Venda, 71m²"
R$ 427.370         Condomínio:   R$ 526,Caraguatatuba,Martim de Sa,Avenida Horácio Rodrigues,100,2   Quartos,2   Banheiros,52   m²,1   Vaga,"Apartamento com 2 Quartos à Venda, 52m²"
R$ 450.000,Caraguatatuba,Pontal de Santa Marina,Rua Sady Gomes de Almeida,350,2   Quartos,3   Banheiros,74   m²,1   Vaga,"Casa com 2 Quartos à Venda, 74m²"
R$ 429.450         Condomínio:   R$ 1,Caraguatatuba,Capricórnio II,Rua Um,24,2   Quartos,2   Banheiros,72   m²,1   Vaga,"Casa de condomínio com 2 Quartos à Venda, 72m²"
R$ 780.000,Caraguatatuba,Jardim do Sol,Avenida Maria de Lourdes da Silva Kfouri,N/I,3   Quartos,3   Banheiros,98   m²,4   Vagas,"Casa com 3 Quartos à Venda, 98m²"
R$ 330.000         Condomínio:   R$ 360,Caraguatatuba,Vila Balneario Santa Martha,Rua Santa Rita do Passa Quatro,N/I,2   Quartos,1   Banheiro,48   m²,1   Vaga,"Apartamento com 2 Quartos à Venda, 48m²"
R$ 449.200         Condomínio:   R$ 1,Caraguatatuba,Tabatinga,Rua Quinze,172,3   Quartos,2   Banheiros,100   m²,1   Vaga,"Casa de condomínio com 3 Quartos à Venda, 100m²"
R$ 280.000,Caraguatatuba,Balneário dos Golfinhos,N/I,N/I,2   Quartos,1   Banheiro,10   m²,1   Vaga,"Casa com 2 Quartos à Venda, 10m²"
R$ 550.000,Caraguatatuba,Pontal de Santa Marina,Avenida Francisco Garrido,1090,2   Quartos,2   Banheiros,166   m²,2   Vagas,"Casa com 2 Quartos à Venda, 166m²"
R$ 300.000,Caraguatatuba,Balneário dos Golfinhos,N/I,N/I,--   Quarto,--   Banheiro,300   m²,--   Vaga,"Galpão/Depósito/Armazém    à Venda, 300m²"
"R$ 449.070
                    



                  Condomínio:
                  
                      R$ 489",Caraguatatuba,Martim de Sa,Rua Dom Jerônimo de Ataide,312,"2
              

                Quartos","2
              

                Banheiros","68
              

                m²","1
                

                  Vaga","Apartamento com 2 Quartos à Venda, 68m²"
"R$ 450.000
                        
Preço abaixo do mercado





                  Condomínio:
                  
                      R$ 600",Caraguatatuba,Cidade Jardim,Alameda dos Cedros do Líbano,197,"2
              

                Quartos","1
              

                Banheiro","83
              

                m²","1
                

                  Vaga","Apartamento com 2 Quartos à Venda, 83m²"
R$ 380.000,Caraguatatuba,Travessão,Rua Iguape,N/I,"3
              

                Quartos","2
              

                Banheiros","116
              

                m²","8
                

                  Vagas","Casa com 3 Quartos à Venda, 116m²"
"R$ 950.000
                        
Preço abaixo do mercado",Caraguatatuba,Jardim Das Gaivotas,Rua Uirapuru,200,"3
              

                Quartos","3
              

                Banheiros","317
              

                m²","4
                

                  Vagas","Casa com 3 Quartos à Venda, 317m²"
"R$ 494.020
                    



                  Condomínio:
                  
                      R$ 1",Caraguatatuba,Praia Das Palmeiras,Avenida Manoel Avelino dos Santos,100,"2
              

                Quartos","2
              

                Banheiros","120
              

                m²","2
                

                  Vagas","Casa com 2 Quartos à Venda, 120m²"
"R$ 349.610
                    



                  Condomínio:
                  
                      R$ 380",Caraguatatuba,Massaguaçu,Rua Sebastiana Felício de Oliveira,100,"2
              

                Quartos","1
              

                Banheiro","58
              

                m²","1
                

                  Vaga","Apartamento com 2 Quartos à Venda, 58m²"
R$ 390.000,Caraguatatuba,Pontal de Santa Marina,Alameda Alfredo Carlos Rokita,N/I,"2
              

                Quartos","2
              

                Banheiros","62
              

                m²","--
                

                  Vaga","Casa com 2 Quartos à Venda, 62m²"
R$ 520.000,Caraguatatuba,Praia Das Palmeiras,Avenida Gaspar de Souza,300,"2
              

                Quartos","1
              

                Banheiro","105
              

                m²","2
                

                  Vagas","Casa com 2 Quartos à Venda, 105m²"
R$ 590.000,Caraguatatuba,Pontal de Santa Marina,Rua Engenheiro Nilton de Oliveira e Silva,312,"3
              

                Quartos","4
              

                Banheiros","110
              

                m²","3
                

                  Vagas","Casa com 3 Quartos à Venda, 110m²"
